epoch,split,loss,ppl,epoch_time_s,elapsed_s,tokens_per_s
1,train,6.6663566344400165,785.5284173467,1345.715,1345.716,84372.3
1,valid,4.7566413491687785,116.3544748396219,1345.715,1345.716,84372.3
2,train,5.1424881070207205,171.14105628461283,1374.073,2720.499,82631.0
2,valid,4.233490040804821,68.95747710658046,1374.073,2720.499,82631.0
3,train,4.790158776493816,120.32047120921057,1347.992,4069.115,84229.8
3,valid,4.052006797773671,57.5127577884012,1347.992,4069.115,84229.8
4,train,4.644791797814087,104.04170182050605,1390.069,5460.084,81680.2
4,valid,3.969076125431103,52.93560238444641,1390.069,5460.084,81680.2
5,train,4.560256932548974,95.60804149238895,1345.262,6806.121,84400.7
5,valid,3.907525352919676,49.77562233919321,1345.262,6806.121,84400.7
6,train,4.4937057436630665,89.45231980029125,1366.201,8173.107,83107.2
6,valid,3.861330855804052,47.52856296064114,1366.201,8173.107,83107.2
7,train,4.4527893001038965,85.86611665308476,1357.141,9530.953,83662.0
7,valid,3.8383586443582045,46.44917222649454,1357.141,9530.953,83662.0
8,train,4.425538371307681,83.55778022627474,1365.503,10897.156,83149.7
8,valid,3.816883500150174,45.462304049639926,1365.503,10897.156,83149.7
9,train,4.4006231842619,81.50164338379784,1341.763,12239.577,84620.8
9,valid,3.798870442348721,44.65072043473252,1341.763,12239.577,84620.8
10,train,4.383582181916781,80.12454061872712,1386.971,13627.363,81862.6
10,valid,3.7873721997188983,44.140255963760346,1386.971,13627.363,81862.6
11,train,4.369318383768696,78.98977263490838,1343.756,14971.759,84495.3
11,valid,3.7764327065690764,43.66001551883094,1343.756,14971.759,84495.3
